Geneid	SRR1554536(Adult 1)	SRR2071347(Adult 1)	SRR1554539(Adult 2)	SRR2071350(Adult 2)	SRR15545534(Adult 3)	SRR2071345(Adult 3)	SRR1554537(Fetus 1)	SRR2071348(Fetus 1)	SRR1554566(Fetus 2)	SRR2071377(Fetus 2)	SRR1554567(Fetus 3)	SRR2071378(Fetus 3)
NR_132976	0	0	2	2	6	6	2	4	2	2	1	1
NR_033863	5	6	17	20	11	11	27	42	2	3	42	47
NR_038194	0	0	0	0	0	0	0	0	0	0	0	0
NM_001369481	0	0	0	0	0	0	10	29	29	29	10	10
NM_001177704	0	0	0	0	0	0	0	0	0	0	0	0
NM_001370058	0	0	0	0	0	0	0	0	0	0	0	0
NM_001370061	0	0	0	0	0	0	0	0	0	0	0	0
NM_005454	2	2	3	3	2	2	2	4	33	34	6	6
NR_163242	0	0	0	0	0	0	0	0	0	0	0	0
NM_001370065	0	0	0	0	0	0	0	0	0	0	0	0
NM_001370063	0	0	0	0	0	0	0	0	0	0	0	0
NM_001370060	0	0	0	0	0	0	0	0	0	0	0	0
NR_163240	0	0	0	0	0	0	0	0	0	0	0	0
NR_163241	0	0	0	0	0	0	0	0	0	0	0	0
NR_003920	24	31	49	55	31	35	86	169	129	147	138	146
NM_001369649	0	0	0	0	0	0	0	0	0	0	0	0
NM_001039697	0	0	0	0	1	1	0	0	0	0	0	0
NM_001369647	0	0	0	0	0	0	0	0	0	0	0	0
NM_001369650	0	0	0	0	0	0	0	0	0	0	0	0
NR_161449	0	0	0	0	0	0	0	0	0	0	0	0
NR_161441	0	0	0	0	0	0	0	0	0	0	0	0
NR_161445	0	0	0	0	0	0	0	0	0	0	0	0
NR_161448	0	0	0	0	0	0	0	0	0	0	0	0
NR_161446	0	0	0	0	0	0	0	0	0	0	0	0
NR_161442	0	0	0	0	0	0	0	0	0	0	0	0
NR_161436	0	0	0	0	0	0	0	0	0	0	0	0
NM_001317900	0	0	0	0	0	0	0	0	0	0	0	0
NM_021144	0	0	0	0	0	0	0	0	0	0	0	0
NM_001317898	23	33	114	122	14	17	121	220	182	190	264	272
NR_151723	4	10	2	2	0	0	0	0	4	4	2	2
NM_001286984	0	0	0	0	0	0	0	0	0	0	0	0
NM_001286985	0	0	0	0	0	0	0	0	0	0	0	0
NR_036107	0	0	0	0	0	0	0	0	0	0	0	0
NR_038064	2	2	1	2	0	0	2	6	1	3	5	5
NM_017645	0	0	1	0	0	0	1	1	2	2	2	1
NM_001122	0	0	0	0	0	0	0	0	0	0	0	0
NM_006570	1255	1786	6345	6847	5017	5417	7185	13477	6228	6675	9482	10236
NM_001270890	0	0	0	0	0	0	0	0	0	0	0	0
NR_003009	0	0	0	0	0	0	7	16	13	14	19	19
NM_001010	10923	15201	10966	11463	8892	9404	61188	113831	52306	51507	40335	42231
NM_001010887	63	99	231	241	125	131	724	1289	484	518	643	676
NR_039684	0	0	0	0	0	0	2	4	0	0	1	1
NR_039685	0	0	0	0	0	0	2	5	2	2	2	2
NR_121601	4	5	11	12	14	16	20	37	14	15	6	7
NR_030166	0	0	4	5	0	0	1	1	0	0	0	0
NR_145762	0	0	0	0	0	0	0	0	0	0	0	0
NM_001321883	0	0	0	0	0	0	0	0	0	0	0	0
NM_001010915	0	0	0	0	0	0	0	0	0	0	0	0
NM_002176	0	0	2	2	0	0	0	0	0	0	0	0
NM_001321903	1	1	3	4	0	0	4	6	2	2	2	2
NM_021268	0	0	0	0	0	0	0	0	0	0	0	0
NM_021068	0	0	0	0	0	0	0	4	0	0	0	0
NM_002177	2	2	5	5	1	1	2	15	10	10	8	9
NM_002175	0	0	2	2	8	8	17	28	11	13	9	9
NM_002173	0	0	0	0	0	0	0	0	0	0	0	0
NM_002171	0	0	0	0	0	0	0	0	0	0	0	0
NM_021057	0	0	0	0	0	0	0	3	0	0	0	0
NM_002169	0	0	0	0	0	0	0	2	0	0	0	0
NM_018847	621	915	2766	2957	1239	1328	9638	18075	10286	10813	12437	13092
NM_021002	0	2	1	2	0	0	0	0	0	0	0	0
NM_002172	0	0	2	2	0	0	2	4	0	0	2	2
NR_036676	0	0	0	0	0	0	0	2	0	0	1	2
NM_000605	4	4	4	6	0	0	0	0	0	0	2	2
NM_176891	0	2	12	12	2	2	0	0	0	0	0	1
NM_006900	0	0	8	8	7	7	0	0	0	0	0	0
NM_024013	0	0	2	2	2	2	0	0	0	0	0	0
NM_002170	0	0	5	6	4	4	0	0	0	0	0	0
NR_029505	0	0	0	0	0	0	0	0	0	0	0	0
NM_002451	317	450	754	799	476	505	1492	2784	3143	3312	2568	2695
NM_058197	0	0	1	1	2	2	1	2	0	0	0	0
NM_058195	2	4	14	16	4	5	1	5	0	0	4	5
NM_001195132	0	0	4	4	0	0	0	0	0	0	1	1
NM_001363763	0	0	0	0	0	0	0	1	0	0	0	0
NM_000077	0	0	0	0	0	0	0	0	0	0	0	0
NM_078487	0	0	0	0	0	0	0	1	0	0	0	0
NM_004936	0	0	0	0	0	0	0	0	0	0	0	0
NR_024274	0	0	0	0	0	0	0	0	0	0	0	0
NM_022160	41	54	13	14	20	21	79	149	268	282	143	151
NM_001365008	0	0	1	1	0	0	0	0	0	0	0	0
NM_001271706	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004125	219	349	760	921	806	1040	965	2180	982	1174	1452	1703
NR_121604	0	0	0	0	0	0	0	0	0	0	0	0
NM_001031689	4	6	2	2	1	1	7	16	8	8	9	8
NR_121605	2	2	0	0	0	0	0	0	2	2	2	2
NM_001321546	0	0	0	0	0	0	0	0	0	0	0	0
NM_001161585	0	0	0	0	0	0	0	0	0	0	0	0
NM_020641	0	0	0	0	0	0	0	0	2	2	0	0
NM_018325	0	0	0	0	1	2	0	1	2	2	2	3
NM_145005	38	58	210	216	66	70	260	552	170	181	315	321
NM_001256054	0	0	2	2	2	2	6	13	2	2	11	12
NR_030597	0	0	0	0	2	2	0	0	0	0	0	0
NR_030618	0	0	0	0	0	0	0	0	1	1	0	0
